report_id,timestamp,location,category,reported_severity,description,reporter_type
R3001,2026-09-16T08:05,Level 2 Library,MEDICAL,LOW,"Patient needs immediate attention, no ID card found.",staff
R3002,,Level 2 Library,MEDICAL,LOW,Seems like a medical emergency.,student
R3003,2026-09-16T08:10,,fire,HIGH,"Smoke seen coming from behind a locked door.",lecturer
R3004,2026-09-16T08:15,Sports Centre,environmental,MEDIUM,"Trash scattered in the gym area.",security
R3005,garbled-not-a-date,Sports Centre,environmental,MEDIUM,"Trash everywhere, smell of garbage.",staff
R3006,2026-09-16T08:20,Engineering Block E3,fire,,Student reported smoke in electrical room.,staff
R3007,2026-09-16T08:25,Engineering Block E3,it,MEDIUM,"Computer malfunctioning, can't connect to network.",student
R3008,,Engineering Block E3,it,MEDIUM,"Computer won't turn on, power cord damaged.",staff
R3011,2026-09-16T08:40,Sports Centre,medical,critical,"Student fainting, no ID card found.",staff
R3012,2026-09-16T08:45,Engineering Block E3,it,MEDIUM,"Printer not printing, needs repair.",student
R3014,2026-09-16T08:55,,Library Level 2,fire,"Smoke detected, no one injured, calling for assistance.",staff
R3015,2026-09-16T09:00,Sports Centre,medical,MEDIUM,"Student needs help with medical form filling out.",staff
R3016,2026-09-16T09:05,Engineering Block E3,it,LOW,"Printer not printing, needs repair.",student
R3017,2026-09-16T09:10,Library Level 2,it,MEDIUM,"Computer malfunctioning, can't connect to network.",staff
R3018,,Library Level 2,it,MEDIUM,"Computer won't turn on, power cord damaged.",student
R3019,2026-09-16T09:15,Sports Centre,medical,critical,"Student needs help with medical form filling out.",staff
R3020,2026-09-16T09:20,Engineering Block E3,security,LOW,"Unknown figure seen near the entrance.",staff
R3031,2026-09-16T08:15,Library Level 2,facilities,MEDIUM,"A light fixture is flickering.",staff
R3032,,Library Level 2,facilities,MEDIUM,"The floor seems wet, but no puddles.",student
R3034,2026-09-16T13:00,Engineering Block E3,it,MEDIUM,"The network is down.",staff
R3035,2026-09-16T09:30,Medical Center,medical,critical,"Patient needs immediate attention.",staff
R3036,,Sports Centre,medical,HIGH,"Someone collapsed, medical assistance is needed.",student
R3037,2026-09-16T10:45,Academic Building,accessibility,MEDIUM,"Stairs are slippery.",student
R3038,2026-09-16T11:00,Engineering Block E3,security,LOW,"Someone found a suspicious object.",staff
R3039,2026-09-16T12:15,Environmental Services,environmental,HIGH,"There's a gas leak.",staff
R3040,2026-09-16T14:00,Engineering Block E3,cleaning,LOW,"The floor needs mopping.",student
R3061,2026-09-16T08:30, ,facilities,MEDIUM,,staff  
R3062,, , ,CRITICAL,"Someone in the dormitory has been found dead.",student  
R3064,2026-09-16T08:30, ,fire,MEDIUM,Fire in the computer lab.,staff  
R3065,garbled-2026-09-16T08:40, ,fire,LOW,"There seems to be an issue with the sprinklers.",student  
R3067,2026-09-16T09:20, ,it,MEDIUM,"The printer is not working.",staff  
R3068,, , ,CRITICAL,"Student 502 has been found dead.",lecturer  
R3069,2026-09-16T09:25, ,fire,HIGH,"A smoke detector has gone off in the dormitory.",staff  
R3071,2026-09-16T09:35, ,it,LOW,"The monitor in the computer lab is not working.",student  
R3072,2026-09-16T09:40, ,fire,CRITICAL,"A fire alarm has been triggered in the dormitory.",staff  
R3073,2026-09-16T09:45, ,medical,MEDIUM,"A student has fallen and injured their arm.",staff  
R3074,2026-09-16T09:50, ,security,MEDIUM,"A student has been found with their backpack missing.",student  
