report_id,timestamp,location,category,reported_severity,description,reporter_type
R2001,,Library Level 2,facilities,MEDIUM,Student is lost in the library.,staff
garb,2026-12-12T14:00,Library Level 1,fire,,Unknown source of fire detected.,security
R2003,,Engineering Block 2,medical,CRITICAL,"Patient in lab 213 requires immediate medical attention.",staff
R2004,2026-12-13,Library Level 3,it,,Computer malfunctioning.,student
R2005,2026-12-12T10:15,,security,HIGH,"Emergency lockdown requested due to suspicious activity.",staff
R2006,2026-12-14,Science Building,environmental,,Leaves falling from trees in Science Building.,student
R2007,,Engineering Block 3,fire,HIGH,"Smoke reported in the elevator shaft.",staff
R2008,2026-12-15T09:30,Student Center,accessibility,LOW,"Ramp is inaccessible to wheelchairs.",staff
R2010,2026-12-17,Engineering Block 4,cleaning,,Building cleaning in progress.,staff
R2011,2026-12-18,,security,CRITICAL,"Security breach detected in the administration building.",student
R2012,2026-12-19,Library Level 4,it,,Computer network outage.,staff
R2013,2026-12-20,,Environmental,LOW,"Flooded basement in the dorms.",student
R2014,2026-12-21,Engineering Block 5,security,,Fire alarm test.,staff
R2015,2026-12-22,Library Level 5,medical,,Student complaining of a headache.,student
R2016,2026-12-23,,Facilities,HIGH,"Broken windows in the courtyard.",staff
R2017,2026-12-24,Engineering Block 6,fire,,No further details.,student
R2018,2026-12-25,Library Level 6,cleaning,,Floor waxing in progress.,staff
R2019,2026-12-26,Engineering Block 7,it,,Server rebooting.,student
R2020,2026-12-27,Student Center,accessibility,CRITICAL,"Ramp needs repair.",staff
